Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1887:11:16:0 0.076808 0.120297 -0.248227 0.140773
1887:12:16:0 -0.0106528 0.186435 0.000679842 -0.10421
1888:1:16:0 -0.0451109 0.1497 0.139235 -0.189578
1888:2:16:0 0.352522 0.218265 0.0863027 0.200239
1888:3:16:0 0.33807 0.28229 0.030032 0.181909
1888:4:16:0 0.299271 0.486577 -0.180794 0.146379
1888:5:16:0 0.224443 0.802088 -0.202446 -0.0753779
1888:6:16:0 0.279493 0.931016 -0.51806 0.0730149
1888:7:16:0 0.34525 0.530975 -0.434375 0.29695
1888:8:16:0 0.483709 0.461607 -0.388822 0.447317
1888:9:16:0 0.025901 1.51454 -0.179466 -0.641638
1888:10:16:0 0.930184 1.61893 -0.510378 0.375908
1888:11:16:0 1.23363 1.7162 -0.401774 0.576419
1888:12:16:0 0.843301 1.34616 -0.0443383 0.19239
1889:1:16:0 0.923488 1.49445 -0.476488 0.414509
1889:2:16:0 0.730719 1.00172 -0.424501 0.44211
1889:3:16:0 0.474873 0.763198 -0.186474 0.186511
1889:4:16:0 0.261339 0.53966 -0.0687908 0.0259043
1889:5:16:0 0.264305 0.257282 -0.0178529 0.14459
1889:6:16:0 -0.0935941 -0.0560262 0.150536 -0.140849
1889:7:16:0 -0.247716 -0.324418 0.0835765 -0.127295
1889:8:16:0 -0.344929 -0.549992 0.00435971 -0.0721131
1889:9:16:0 -0.398712 -0.597778 0.253728 -0.226687
1889:10:16:0 -0.789853 -0.83287 0.273952 -0.510394
1889:11:16:0 -0.720828 -0.546107 0.156363 -0.525956
1889:12:16:0 -0.848371 -0.265924 -0.0319759 -0.699421
1890:1:16:0 -1.50439 -0.529989 0.0241719 -1.25148
1890:2:16:0 -1.28153 -0.515678 0.00928499 -1.02833
1890:3:16:0 -0.604267 -0.423014 -0.171104 -0.307207
1890:4:16:0 -0.533537 -0.645721 -0.186478 -0.117438
1890:5:16:0 -0.530565 -0.712464 -0.177885 -0.085391
1890:6:16:0 -0.778534 -0.906156 -0.111524 -0.269694
1890:7:16:0 -0.719705 -0.743894 -0.113752 -0.290882
1890:8:16:0 -1.15131 -0.656162 0.00819768 -0.827332
1890:9:16:0 -1.08064 -0.626364 -0.0441758 -0.74537
1890:10:16:0 -0.946941 -0.670857 0.00733037 -0.615177
