SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
-1.42366,-1.61711,-1.03337,-1.45246,-1.43971,-0.36138,-0.47594,-0.13093,-0.47899,-0.16416,-0.30001,-0.16986,0.00818,0.05786,-0.10873,-0.14578,-0.2513,-0.22558,0.21408,0.84515,0.24894,0.48898,0.52666,0.5739,0.5166,0.41706,0.29541,0.2827,0.13864,0.03086,-0.17288,-0.30706,-0.0238,0.59718,0.54344,0.57182,0.59788,0.48272,0.42474,0.32924,0.28064,0.52927,0.27234,0.87988,1.05169,0.95719,0.93445,0.98204
-0.91549,-1.44592,-1.90021,-1.3455,-1.72191,-1.70519,-0.64666,-0.69055,-0.34582,-0.63851,-0.33012,-0.45683,-0.32122,-0.14593,-0.08669,-0.24624,-0.27739,-0.38179,-0.34292,0.10228,0.74527,0.15279,0.39876,0.43872,0.48859,0.43073,0.33109,0.21039,0.19819,0.05348,-0.04927,-0.24595,-0.37708,-0.09105,0.53414,0.48067,0.50898,0.53453,0.41835,0.36102,0.26644,0.21784,0.46661,0.2132,0.82403,1.0002,0.90643,0.8853
-1.16111,-1.37887,-1.65125,-1.94389,-1.62245,-1.88468,-1.86049,-0.96851,-0.9319,-0.59363,-0.83079,-0.51697,-0.63962,-0.50377,-0.33332,-0.26538,-0.41922,-0.44225,-0.54074,-0.49682,-0.0466,0.58952,0.00805,0.25257,0.29462,0.34461,0.28595,0.19234,0.07366,0.06214,-0.07516,-0.16839,-0.35535,-0.48203,-0.1939,0.42812,0.37254,0.40085,0.42579,0.31208,0.25572,0.16204,0.11466,0.36208,0.11607,0.72616,0.9082,0.81436
1.26026,0.74355,0.37274,0.11766,-0.29691,-0.22746,-0.60457,-0.69938,-0.05133,-0.20623,0.05738,-0.27712,-0.05107,-0.16826,-0.05808,0.0922,0.13466,-0.00353,-0.0386,-0.13616,-0.11542,0.28143,0.84427,0.28867,0.52135,0.55516,0.60228,0.54966,0.45478,0.34328,0.33567,0.20227,0.10231,-0.1012,-0.22807,0.04128,0.633,0.58142,0.6094,0.63253,0.52441,0.47078,0.38375,0.33759,0.56844,0.32524,0.90046,1.06649
-0.20443,0.50609,0.18549,-0.04304,-0.18856,-0.41223,-0.33233,-0.57224,-0.64529,-0.25061,-0.38209,-0.172,-0.42573,-0.21387,-0.3262,-0.21791,-0.08551,-0.03312,-0.15201,-0.18085,-0.25507,-0.23266,0.13503,0.68106,0.16754,0.39804,0.43169,0.48195,0.42983,0.34329,0.23009,0.22615,0.09977,0.01236,-0.15872,-0.27609,-0.01525,0.55906,0.50848,0.53238,0.5548,0.44724,0.39301,0.3078,0.26695,0.48758,0.25359,0.80335
-0.24242,-0.42822,0.19616,-0.04984,-0.23071,-0.35903,-0.55239,-0.48342,-0.69125,-0.74984,-0.4061,-0.49947,-0.29659,-0.53783,-0.33546,-0.43364,-0.33657,-0.21471,-0.16909,-0.2866,-0.31737,-0.38165,-0.35171,0.00056,0.54648,0.04078,0.27243,0.30764,0.35565,0.30338,0.21951,0.11521,0.11199,-0.00658,-0.08867,-0.25314,-0.37014,-0.10522,0.46617,0.41726,0.44382,0.46674,0.36261,0.30898,0.22655,0.19055,0.41323,0.1855
0.97768,0.37593,0.0459,0.53053,0.31842,0.14666,0.0346,-0.15287,-0.08327,-0.28334,-0.35948,-0.0696,-0.20141,-0.03467,-0.25464,-0.07356,-0.17846,-0.09128,0.02565,0.06242,-0.04682,-0.07764,-0.14772,-0.127,0.20596,0.69948,0.21315,0.43207,0.46285,0.50757,0.46014,0.37692,0.27983,0.2752,0.15807,0.07158,-0.09816,-0.2155,0.0428,0.58489,0.53921,0.56391,0.58583,0.48659,0.43625,0.35832,0.32201,0.53143
1.22256,1.33985,0.83151,0.45121,0.81996,0.62687,0.48394,0.39121,0.21465,0.26727,0.07155,-0.00473,0.2413,0.10509,0.23753,-0.00381,0.15188,0.04593,0.12824,0.2411,0.27188,0.16735,0.13767,0.06332,0.08019,0.39595,0.86067,0.38446,0.59679,0.62379,0.66511,0.621,0.54018,0.44621,0.44308,0.32557,0.23999,0.0637,-0.05637,0.18273,0.71253,0.66576,0.68932,0.71103,0.61471,0.56583,0.48902,0.45253
1.09674,1.37589,1.49403,0.99082,0.59873,0.94691,0.75577,0.61165,0.52239,0.35316,0.39941,0.20582,0.13586,0.36498,0.22596,0.34964,0.09686,0.24885,0.1421,0.22388,0.3377,0.36583,0.25839,0.22844,0.1524,0.17046,0.4808,0.93741,0.46462,0.67461,0.70082,0.74125,0.6981,0.61748,0.52387,0.52137,0.40331,0.31544,0.14036,0.01621,0.24967,0.77275,0.72765,0.74952,0.77134,0.67609,0.62657,0.55135
0.13232,0.76322,1.2328,1.42444,0.94953,0.57796,0.92611,0.73532,0.59346,0.50147,0.33172,0.37948,0.18591,0.11853,0.35084,0.22151,0.34952,0.09834,0.2495,0.14329,0.22401,0.33648,0.36372,0.25717,0.22638,0.14959,0.17004,0.48197,0.93732,0.46782,0.67787,0.70346,0.74169,0.69874,0.61851,0.52665,0.5235,0.4066,0.31927,0.14395,0.01991,0.25084,0.77165,0.72668,0.74806,0.76923,0.67382,0.62342
-1.00501,-0.60456,0.09585,0.86363,1.19491,0.74701,0.43857,0.8142,0.62526,0.48003,0.3849,0.20963,0.26032,0.06654,0.00077,0.24358,0.11912,0.25097,-0.00127,0.15665,0.05325,0.13321,0.24618,0.27535,0.16799,0.13605,0.06075,0.08458,0.39986,0.86422,0.39522,0.60654,0.63299,0.67078,0.62741,0.54727,0.45502,0.45039,0.33499,0.24954,0.07486,-0.0479,0.1852,0.70933,0.66339,0.68602,0.707,0.61135
