SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
1.64658,1.03679,1.47636,1.48638,0.7264,0.40925,1.29545,1.70723,0.87528,1.29168,1.06821,0.95832,0.81111,0.67038,0.78844,0.73731,0.42653,0.0763,-0.29831,-0.71005,-0.25035,0.13626,0.11194,0.20911,0.35401,0.15074,0.08565,-0.0581,0.05949,0.6874,0.35638,0.94923,1.28474,1.08437,1.05858,0.97069,0.92883,1.02786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.22196,1.60427,1.3542,1.61265,1.60866,1.08788,0.7428,1.48542,1.82652,1.03698,1.44606,1.21689,1.11144,0.97416,0.83707,0.95711,0.90845,0.60025,0.25449,-0.12415,-0.55027,-0.08491,0.29017,0.26683,0.35958,0.49951,0.29927,0.23401,0.09435,0.2011,0.80326,0.48129,1.04061,1.35482,1.16681,1.14318,1.05855,1.01762,1.1117,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.68548,0.44717,1.01438,0.91022,1.27702,1.35572,0.78634,0.49321,1.25494,1.66088,0.8776,1.29652,1.07346,0.96901,0.83086,0.69641,0.81093,0.76446,0.468,0.14392,-0.20934,-0.61739,-0.16474,0.20574,0.1876,0.27812,0.41463,0.22087,0.1537,0.01801,0.12063,0.71251,0.40127,0.95778,1.27497,1.0908,1.06556,0.9799,0.93925,1.03242,NA,NA,NA,NA,NA,NA,NA,NA
0.03412,-0.30924,0.14094,0.58677,0.59207,0.89025,1.05693,0.62297,0.41712,1.09921,1.49959,0.79643,1.18348,0.97998,0.87632,0.73974,0.61266,0.72914,0.69163,0.40959,0.09519,-0.23575,-0.61902,-0.20277,0.15665,0.13547,0.22279,0.35941,0.17161,0.11453,-0.01898,0.08282,0.66779,0.36368,0.91429,1.23332,1.04898,1.02266,0.93741,0.89586,0.98955,NA,NA,NA,NA,NA,NA,NA
-0.18877,-0.22127,-0.40336,-0.08082,0.22433,0.22226,0.43972,0.55534,0.27719,0.14309,0.73116,1.13081,0.57336,0.95363,0.76751,0.67812,0.54997,0.43412,0.53997,0.50576,0.26121,0.01171,-0.28269,-0.62986,-0.2445,0.09678,0.07636,0.15064,0.275,0.10789,0.05462,-0.06662,0.02139,0.56556,0.28627,0.80049,1.11253,0.9354,0.90907,0.82724,0.78964,0.87721,NA,NA,NA,NA,NA,NA
0.93624,0.46976,0.32105,0.15629,0.39382,0.60934,0.60725,0.77692,0.86427,0.64302,0.4865,0.96994,1.26059,0.78014,1.10828,0.93616,0.85469,0.74139,0.63487,0.73095,0.70536,0.47562,0.24429,-0.03436,-0.3692,-0.00684,0.29548,0.27292,0.33942,0.45261,0.29584,0.25039,0.14053,0.22086,0.7135,0.45784,0.9211,1.20818,1.0467,1.02394,0.9473,0.91151,0.99382,NA,NA,NA,NA,NA
-0.68393,0.30066,0.04237,-0.04475,-0.1944,0.05185,0.27189,0.27119,0.44672,0.54312,0.31012,0.16819,0.71619,1.0881,0.57905,0.93389,0.75736,0.67282,0.55014,0.44126,0.53594,0.50644,0.27519,0.0488,-0.2163,-0.51961,-0.15383,0.1489,0.12907,0.19376,0.30458,0.1485,0.10659,-0.00378,0.07776,0.57894,0.32329,0.80908,1.11008,0.94028,0.91646,0.83942,0.80331,0.89077,NA,NA,NA,NA
0.27751,-0.47805,0.31299,0.09611,0.02434,-0.11412,0.10197,0.29878,0.29985,0.46423,0.5491,0.34999,0.22874,0.71723,1.05668,0.59157,0.92698,0.75772,0.67416,0.55572,0.45092,0.5432,0.51685,0.29131,0.06913,-0.19299,-0.50017,-0.14137,0.1582,0.13707,0.2004,0.30954,0.15528,0.11332,0.0052,0.08535,0.58119,0.32432,0.80779,1.11739,0.94145,0.91696,0.83865,0.80189,0.89081,NA,NA,NA
-0.9818,-0.42534,-0.94094,-0.07267,-0.19022,-0.21884,-0.34545,-0.12253,0.07477,0.08051,0.24797,0.33716,0.14469,0.03487,0.53421,0.89453,0.42646,0.78243,0.61108,0.52565,0.40715,0.30275,0.39136,0.3621,0.14122,-0.07706,-0.3268,-0.61909,-0.26372,0.03899,0.01803,0.0818,0.1928,0.04052,-0.00167,-0.11213,-0.02906,0.46986,0.21848,0.70653,1.02311,0.84427,0.81951,0.74051,0.70362,0.79305,NA,NA
-0.84688,-1.29549,-0.71062,-1.12725,-0.26311,-0.32677,-0.33555,-0.45529,-0.23775,-0.04309,-0.03707,0.12978,0.21586,0.02856,-0.07026,0.43235,0.80958,0.34029,0.70014,0.53196,0.44727,0.32978,0.2282,0.31627,0.28784,0.07237,-0.14001,-0.38636,-0.67117,-0.31454,-0.01314,-0.03301,0.03002,0.13959,-0.01048,-0.05154,-0.16156,-0.07798,0.41621,0.16884,0.65365,0.97059,0.79127,0.76633,0.68818,0.65172,0.74057,NA
0.42571,-0.3144,-0.95068,-0.56363,-1.01053,-0.21003,-0.28405,-0.2941,-0.41007,-0.19668,-0.00624,-0.00124,0.16359,0.24741,0.06593,-0.03448,0.47085,0.83938,0.36907,0.7223,0.555,0.47005,0.35336,0.25297,0.3407,0.31301,0.09613,-0.11702,-0.36077,-0.64283,-0.29001,0.00688,-0.01236,0.04974,0.15872,0.00869,-0.03278,-0.14214,-0.05967,0.43445,0.18629,0.67196,0.98745,0.808,0.78253,0.70454,0.66792,0.75637
-1.3135,-0.8102,-1.04152,-1.37432,-0.94357,-1.22874,-0.49169,-0.50174,-0.48706,-0.59166,-0.38195,-0.18968,-0.18408,-0.02101,0.06001,-0.11828,-0.20454,0.29928,0.70172,0.24743,0.60234,0.43389,0.35087,0.23426,0.13316,0.22327,0.19509,-0.01825,-0.2281,-0.46615,-0.74019,-0.38774,-0.08519,-0.10273,-0.04003,0.07066,-0.07976,-0.12196,-0.23151,-0.14516,0.3518,0.10366,0.59744,0.92625,0.74604,0.72095,0.64131,0.60497
-0.61397,-1.37358,-0.96717,-1.19379,-1.45037,-1.04483,-1.29823,-0.58361,-0.58561,-0.56239,-0.66478,-0.45454,-0.26149,-0.25326,-0.09146,-0.01024,-0.19093,-0.27005,0.24194,0.65881,0.20045,0.56182,0.39248,0.3086,0.19166,0.09053,0.18017,0.15213,-0.06131,-0.26884,-0.5062,-0.77798,-0.4234,-0.11894,-0.13544,-0.07238,0.038,-0.11322,-0.15533,-0.26543,-0.1792,0.32043,0.072,0.57114,0.90058,0.72067,0.69559,0.61631
0.09195,-0.31146,-1.06755,-0.79116,-1.05313,-1.39331,-1.00953,-1.25137,-0.58056,-0.60231,-0.59078,-0.68487,-0.48197,-0.29452,-0.28081,-0.12267,-0.04484,-0.22305,-0.294,0.21531,0.63569,0.19302,0.54728,0.38524,0.30247,0.18943,0.08933,0.17547,0.14822,-0.06459,-0.26577,-0.50112,-0.77344,-0.42505,-0.12264,-0.1389,-0.07597,0.03307,-0.11674,-0.15753,-0.26682,-0.17935,0.31362,0.0686,0.55766,0.88305,0.70524,0.68128
-0.68548,-0.54742,-0.76244,-1.30291,-1.13942,-1.32541,-1.54734,-1.17255,-1.36578,-0.72103,-0.71479,-0.68913,-0.77622,-0.58135,-0.40087,-0.38197,-0.22867,-0.14895,-0.3177,-0.37801,0.11339,0.52196,0.10353,0.45404,0.30194,0.22286,0.11441,0.01748,0.09695,0.07014,-0.13701,-0.32451,-0.55452,-0.82098,-0.47863,-0.17962,-0.19702,-0.13646,-0.02928,-0.17639,-0.21536,-0.32282,-0.23647,0.24662,0.00821,0.49349,0.8204,0.64427
1.1462,0.74127,0.59929,0.43035,-0.01049,0.06988,-0.1414,-0.54544,-0.40548,-0.72329,-0.19371,-0.26243,-0.28864,-0.38617,-0.20412,-0.03971,-0.03045,0.11014,0.18428,0.02938,-0.05309,0.39262,0.75221,0.33609,0.67372,0.51949,0.44044,0.33443,0.2388,0.32422,0.2989,0.08997,-0.10537,-0.33505,-0.60996,-0.27162,0.01439,-0.00449,0.05351,0.15611,0.01049,-0.02698,-0.12862,-0.0516,0.41885,0.18308,0.64403,0.95989
1.13843,1.4317,1.18597,1.11833,1.02018,0.75543,0.80826,0.64393,0.33196,0.29602,-0.02476,0.34804,0.20966,0.14272,0.05266,0.22599,0.36741,0.36331,0.49446,0.56537,0.42289,0.35863,0.71942,1.00516,0.63831,0.92866,0.79539,0.7261,0.63213,0.54548,0.61679,0.59952,0.39948,0.21356,-0.01613,-0.3123,0.00782,0.27598,0.25617,0.31483,0.4101,0.27302,0.23682,0.14306,0.21012,0.64181,0.41955,0.83357
0.03551,0.75291,1.03905,0.86908,0.83099,0.75929,0.54183,0.5949,0.46149,0.20811,0.1736,-0.08776,0.24923,0.1115,0.06046,-0.02052,0.13593,0.26553,0.2623,0.37753,0.44386,0.31957,0.2645,0.60161,0.88691,0.55354,0.82768,0.70048,0.63364,0.54461,0.46382,0.53635,0.51986,0.33664,0.15774,-0.0459,-0.32144,-0.02986,0.22221,0.20373,0.26135,0.35377,0.22327,0.18839,0.09794,0.16716,0.58131,0.36502
0.66583,0.24383,0.86408,1.1555,0.98574,0.95568,0.88763,0.66556,0.70935,0.5806,0.31988,0.26878,0.00462,0.33994,0.21794,0.15958,0.07352,0.22744,0.35722,0.35214,0.47063,0.53895,0.40152,0.34253,0.685,0.96712,0.63002,0.89822,0.77319,0.70894,0.61912,0.53749,0.61265,0.59818,0.41291,0.22965,0.02284,-0.25326,0.03965,0.28709,0.26936,0.32893,0.42121,0.29176,0.25338,0.16489,0.23381,0.64885
2.01279,1.93216,1.37027,1.56848,1.73731,1.61577,1.59128,1.5537,1.39166,1.43804,1.34452,1.14417,1.08672,0.83282,1.02611,0.87838,0.78463,0.68857,0.83227,0.9579,0.94984,1.06382,1.13458,0.97714,0.89994,1.2006,1.41094,1.06793,1.31462,1.19921,1.14407,1.06085,0.98046,1.04599,1.03986,0.85612,0.6762,0.45499,0.1507,0.42723,0.66772,0.64865,0.70712,0.79631,0.66647,0.62632,0.54055,0.60002
