"Station Name","REGINA GILMOUR"
"Province","SASKATCHEWAN"
"Latitude","50.57"
"Longitude","-104.83"
"Elevation","556.30"
"Climate Identifier","4016651"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"NA","Data for this day has undergone only preliminary quality checking"
"x","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (degC)","Max Temp Flag","Min Temp (degC)","Min Temp Flag","Mean Temp (degC)","Mean Temp Flag","Heat Deg Days (degC)","Heat Deg Days Flag","Cool Deg Days (degC)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2009-03-19","2009","03","19","NA","","","","","","","","","","","0.0","","0.0","","0.0","","23","","","","",""
"2009-03-20","2009","03","20","NA","","","","","","","","","","","0.0","","0.0","","0.0","","20","","","","",""
"2009-03-21","2009","03","21","NA","","","","","","","","","","","0.0","","0.0","","0.0","","18","","","","",""
"2009-03-22","2009","03","22","NA","","","","","","","","","","","0.1","","0.1","","0.2","","18","","","","",""
"2009-03-23","2009","03","23","NA","","","","","","","","","","","0.0","","0.0","","0.0","","16","","","","",""
"2009-03-24","2009","03","24","NA","","","","","","","","","","","0.0","","0.0","","0.0","","16","","","","",""
"2009-03-25","2009","03","25","NA","","","","","","","","","","","0.0","","4.0","","4.0","","16","","","","",""
"2009-03-26","2009","03","26","NA","","","","","","","","","","","0.0","","0.0","","0.0","","16","","","","",""
"2009-03-27","2009","03","27","NA","","","","","","","","","","","0.0","","0.0","","0.0","","16","","","","",""
"2009-03-28","2009","03","28","NA","","","","","","","","","","","0.0","","0.0","","0.0","","16","","","","",""
"2009-03-29","2009","03","29","NA","","","","","","","","","","","0.0","","0.0","","0.0","","10","","","","",""
"2009-03-30","2009","03","30","NA","","","","","","","","","","","0.0","","0.0","","0.0","","10","","","","",""
"2009-03-31","2009","03","31","NA","","","","","","","","","","","0.0","","0.0","","0.0","","8","","","","",""
"2009-04-01","2009","04","01","NA","","","","","","","","","","","0.0","","0.0","","0.0","","8","","","","",""
"2009-04-02","2009","04","02","NA","","","","","","","","","","","0.0","","0.0","","0.0","","7","","","","",""
"2009-04-03","2009","04","03","NA","","","","","","","","","","","0.0","","0.0","","0.0","","7","","","","",""
"2009-04-04","2009","04","04","NA","","","","","","","","","","","0.0","","0.0","","0.0","","5","","","","",""
"2009-04-05","2009","04","05","NA","","","","","","","","","","","0.0","","0.0","","0.0","","5","","","","",""
"2009-04-06","2009","04","06","NA","","","","","","","","","","","0.0","","0.0","","0.0","","4","","","","",""
"2009-04-07","2009","04","07","NA","","","","","","","","","","","0.0","","0.0","","0.0","","3","","","","",""
"2009-04-08","2009","04","08","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-09","2009","04","09","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-10","2009","04","10","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-11","2009","04","11","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-12","2009","04","12","NA","","","","","","","","","","","1.2","","0.0","","1.2","","0","","","","",""
"2009-04-13","2009","04","13","NA","","","","","","","","","","","1.6","","0.0","","1.6","","0","","","","",""
"2009-04-14","2009","04","14","NA","","","","","","","","","","","7.6","","0.0","","7.6","","0","","","","",""
"2009-04-15","2009","04","15","NA","","","","","","","","","","","11.0","","0.0","","11.0","","0","","","","",""
"2009-04-16","2009","04","16","NA","","","","","","","","","","","9.4","","0.0","","9.4","","0","","","","",""
"2009-04-17","2009","04","17","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-18","2009","04","18","NA","","","","","","","","","","","2.8","","0.0","","2.8","","0","","","","",""
"2009-04-19","2009","04","19","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-20","2009","04","20","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-21","2009","04","21","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-22","2009","04","22","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-23","2009","04","23","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-24","2009","04","24","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-25","2009","04","25","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-26","2009","04","26","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-27","2009","04","27","NA","","","","","","","","","","","0.0","","6.0","","6.0","","0","","","","",""
"2009-04-28","2009","04","28","NA","","","","","","","","","","","1.0","","0.0","","1.0","","0","","","","",""
"2009-04-29","2009","04","29","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-04-30","2009","04","30","NA","","","","","","","","","","","5.0","","0.0","","5.0","","0","","","","",""
"2009-05-01","2009","05","01","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-02","2009","05","02","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-03","2009","05","03","NA","","","","","","","","","","","0.3","","0.0","","0.3","","0","","","","",""
"2009-05-04","2009","05","04","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-05","2009","05","05","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-06","2009","05","06","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-07","2009","05","07","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-08","2009","05","08","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-09","2009","05","09","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-10","2009","05","10","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-11","2009","05","11","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-12","2009","05","12","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-13","2009","05","13","NA","","","","","","","","","","","12.0","","0.1","","12.1","","0","","","","",""
"2009-05-14","2009","05","14","NA","","","","","","","","","","","1.0","","0.1","","1.1","","0","","","","",""
"2009-05-15","2009","05","15","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-16","2009","05","16","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-17","2009","05","17","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-18","2009","05","18","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-19","2009","05","19","NA","","","","","","","","","","","0.6","","0.0","","0.6","","0","","","","",""
"2009-05-20","2009","05","20","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-21","2009","05","21","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-22","2009","05","22","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-23","2009","05","23","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-24","2009","05","24","NA","","","","","","","","","","","15.8","","0.0","","15.8","","0","","","","",""
"2009-05-25","2009","05","25","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-26","2009","05","26","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-27","2009","05","27","NA","","","","","","","","","","","0.1","","0.0","","0.1","","0","","","","",""
"2009-05-28","2009","05","28","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-29","2009","05","29","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-05-30","2009","05","30","NA","","","","","","","","","","","2.0","","0.0","","2.0","","0","","","","",""
"2009-05-31","2009","05","31","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-01","2009","06","01","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-02","2009","06","02","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-03","2009","06","03","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-04","2009","06","04","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-05","2009","06","05","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-06","2009","06","06","NA","","","","","","","","","","","5.0","","0.0","","5.0","","0","","","","",""
"2009-06-07","2009","06","07","NA","","","","","","","","","","","10.2","","0.0","","10.2","","0","","","","",""
"2009-06-08","2009","06","08","NA","","","","","","","","","","","1.2","","0.0","","1.2","","0","","","","",""
"2009-06-09","2009","06","09","NA","","","","","","","","","","","2.0","","0.0","","2.0","","0","","","","",""
"2009-06-10","2009","06","10","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-11","2009","06","11","NA","","","","","","","","","","","0.8","","0.0","","0.8","","0","","","","",""
"2009-06-12","2009","06","12","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-13","2009","06","13","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-14","2009","06","14","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-15","2009","06","15","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-16","2009","06","16","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-17","2009","06","17","NA","","","","","","","","","","","2.8","","0.0","","2.8","","0","","","","",""
"2009-06-18","2009","06","18","NA","","","","","","","","","","","12.0","","0.0","","12.0","","0","","","","",""
"2009-06-19","2009","06","19","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-20","2009","06","20","NA","","","","","","","","","","","5.6","","0.0","","5.6","","0","","","","",""
"2009-06-21","2009","06","21","NA","","","","","","","","","","","7.0","","0.0","","7.0","","0","","","","",""
"2009-06-22","2009","06","22","NA","","","","","","","","","","","0.1","","0.0","","0.1","","0","","","","",""
"2009-06-23","2009","06","23","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-24","2009","06","24","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-25","2009","06","25","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2009-06-26","2009","06","26","NA","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
